SCOPE	NAME	VALUE_DEFAULT_SEMANTICS	PURPOSE	SOURCE
runtime/cuda	DS4_CUDA_MMQ_X_MAX	integer >=8; rounded down to multiple of 8 and only lowers the hardware base; invalid/unset = hardware base	Cap the MMQ X tile-width selector for architecture tuning.	cuda/mmq/mmq.cuh:127
runtime/cuda	DS4_CUDA_MODEL_COPY_CHUNK_MB	positive integer MiB; default 64; clamped 16..4096	Set the chunk size used for CUDA model copying.	ds4_cuda.cu:2827
runtime/cuda	DS4_CUDA_MODEL_COPY_VERBOSE	presence diagnostic flag; default off; any defined value including 0 enables	Print periodic progress while copying the model to device memory.	ds4_cuda.cu:6537
runtime/cuda	DS4_CUDA_MODEL_PREFETCH_SYNC	presence flag; unset does not force the path; any defined value including 0 is true; eligibility/auto-policy still applies	Synchronize after each CUDA model prefetch range for diagnostics.	ds4_cuda.cu:2808
runtime/cuda	DS4_CUDA_MOE_ATOMIC_DOWN	presence flag; unset does not force the path; any defined value including 0 is true; eligibility/auto-policy still applies	Select or tune the atomic down variant in CUDA routed-MoE dispatch.	ds4_cuda.cu:30086
runtime/cuda	DS4_CUDA_MOE_DECODE_GRAPH	presence flag; unset does not force the path; any defined value including 0 is true; eligibility/auto-policy still applies	Select or tune the decode graph variant in CUDA routed-MoE dispatch.	ds4_cuda.cu:391
runtime/cuda	DS4_CUDA_MOE_DIRECT_MIDQ	presence flag; unset does not force the path; any defined value including 0 is true; eligibility/auto-policy still applies	Select or tune the direct midq variant in CUDA routed-MoE dispatch.	ds4_cuda.cu:30140
runtime/cuda	DS4_CUDA_MOE_DOWN_ROW1024	presence flag; unset does not force the path; any defined value including 0 is true; eligibility/auto-policy still applies	Select or tune the down row1024 variant in CUDA routed-MoE dispatch.	ds4_cuda.cu:30109
runtime/cuda	DS4_CUDA_MOE_DOWN_ROW128	presence flag; unset does not force the path; any defined value including 0 is true; eligibility/auto-policy still applies	Select or tune the down row128 variant in CUDA routed-MoE dispatch.	ds4_cuda.cu:30128
runtime/cuda	DS4_CUDA_MOE_DOWN_ROW2048	presence flag; unset does not force the path; any defined value including 0 is true; eligibility/auto-policy still applies	Select or tune the down row2048 variant in CUDA routed-MoE dispatch.	ds4_cuda.cu:30110
runtime/cuda	DS4_CUDA_MOE_DOWN_ROW256	presence flag; unset does not force the path; any defined value including 0 is true; eligibility/auto-policy still applies	Select or tune the down row256 variant in CUDA routed-MoE dispatch.	ds4_cuda.cu:30127
runtime/cuda	DS4_CUDA_MOE_DOWN_ROW512	presence flag; unset does not force the path; any defined value including 0 is true; eligibility/auto-policy still applies	Select or tune the down row512 variant in CUDA routed-MoE dispatch.	ds4_cuda.cu:30108
runtime/cuda	DS4_CUDA_MOE_DOWN_ROW64	presence flag; unset does not force the path; any defined value including 0 is true; eligibility/auto-policy still applies	Select or tune the down row64 variant in CUDA routed-MoE dispatch.	ds4_cuda.cu:30129
runtime/cuda	DS4_CUDA_MOE_GATE_ROW1024	presence flag; unset does not force the path; any defined value including 0 is true; eligibility/auto-policy still applies	Select or tune the gate row1024 variant in CUDA routed-MoE dispatch.	ds4_cuda.cu:30120
runtime/cuda	DS4_CUDA_MOE_GATE_ROW128	presence flag; unset does not force the path; any defined value including 0 is true; eligibility/auto-policy still applies	Select or tune the gate row128 variant in CUDA routed-MoE dispatch.	ds4_cuda.cu:30093
runtime/cuda	DS4_CUDA_MOE_GATE_ROW2048	presence flag; unset does not force the path; any defined value including 0 is true; eligibility/auto-policy still applies	Select or tune the gate row2048 variant in CUDA routed-MoE dispatch.	ds4_cuda.cu:30091
runtime/cuda	DS4_CUDA_MOE_GATE_ROW256	presence flag; unset does not force the path; any defined value including 0 is true; eligibility/auto-policy still applies	Select or tune the gate row256 variant in CUDA routed-MoE dispatch.	ds4_cuda.cu:30092
runtime/cuda	DS4_CUDA_MOE_MIDQ_SIDECAR	presence flag; unset does not force the path; any defined value including 0 is true; eligibility/auto-policy still applies	Select or tune the midq sidecar variant in CUDA routed-MoE dispatch.	ds4_cuda.cu:30169
runtime/cuda	DS4_CUDA_MOE_NO_ATOMIC_DOWN	presence flag; unset does not force the path; any defined value including 0 is true; eligibility/auto-policy still applies	Disable the atomic down variant in CUDA routed-MoE dispatch.	ds4_cuda.cu:30087
runtime/cuda	DS4_CUDA_MOE_NO_DECODE_LUT_GATE	presence flag; unset does not force the path; any defined value including 0 is true; eligibility/auto-policy still applies	Disable the decode lut gate variant in CUDA routed-MoE dispatch.	ds4_cuda.cu:30117
runtime/cuda	DS4_CUDA_MOE_NO_DIRECT_DOWN_SUM6	presence flag; unset does not force the path; any defined value including 0 is true; eligibility/auto-policy still applies	Disable the direct down sum6 variant in CUDA routed-MoE dispatch.	ds4_cuda.cu:30137
runtime/cuda	DS4_CUDA_MOE_NO_DIRECT_MIDQ	presence flag; unset does not force the path; any defined value including 0 is true; eligibility/auto-policy still applies	Disable the direct midq variant in CUDA routed-MoE dispatch.	ds4_cuda.cu:30141
runtime/cuda	DS4_CUDA_MOE_NO_DOWN_ROW128	presence flag; unset does not force the path; any defined value including 0 is true; eligibility/auto-policy still applies	Disable the down row128 variant in CUDA routed-MoE dispatch.	ds4_cuda.cu:30133
runtime/cuda	DS4_CUDA_MOE_NO_DOWN_ROW2048	presence flag; unset does not force the path; any defined value including 0 is true; eligibility/auto-policy still applies	Disable the down row2048 variant in CUDA routed-MoE dispatch.	ds4_cuda.cu:30131
runtime/cuda	DS4_CUDA_MOE_NO_DOWN_ROW256	presence flag; unset does not force the path; any defined value including 0 is true; eligibility/auto-policy still applies	Disable the down row256 variant in CUDA routed-MoE dispatch.	ds4_cuda.cu:30132
runtime/cuda	DS4_CUDA_MOE_NO_DOWN_ROW64	presence flag; unset does not force the path; any defined value including 0 is true; eligibility/auto-policy still applies	Disable the down row64 variant in CUDA routed-MoE dispatch.	ds4_cuda.cu:30134
runtime/cuda	DS4_CUDA_MOE_NO_DOWN_TILE16	presence flag; unset does not force the path; any defined value including 0 is true; eligibility/auto-policy still applies	Disable the down tile16 variant in CUDA routed-MoE dispatch.	ds4_cuda.cu:30102
runtime/cuda	DS4_CUDA_MOE_NO_EXPERT_TILES	presence flag; unset does not force the path; any defined value including 0 is true; eligibility/auto-policy still applies	Disable the expert tiles variant in CUDA routed-MoE dispatch.	ds4_cuda.cu:30062
runtime/cuda	DS4_CUDA_MOE_NO_GATE_ROW128	presence flag; unset does not force the path; any defined value including 0 is true; eligibility/auto-policy still applies	Disable the gate row128 variant in CUDA routed-MoE dispatch.	ds4_cuda.cu:30097
runtime/cuda	DS4_CUDA_MOE_NO_GATE_ROW2048	presence flag; unset does not force the path; any defined value including 0 is true; eligibility/auto-policy still applies	Disable the gate row2048 variant in CUDA routed-MoE dispatch.	ds4_cuda.cu:30095
runtime/cuda	DS4_CUDA_MOE_NO_GATE_ROW256	presence flag; unset does not force the path; any defined value including 0 is true; eligibility/auto-policy still applies	Disable the gate row256 variant in CUDA routed-MoE dispatch.	ds4_cuda.cu:30096
runtime/cuda	DS4_CUDA_MOE_NO_IQ2_ALIGNED	value-aware kill switch, default off; nonempty value other than exact 0 disables aligned IQ2 path	Disable the IQ2 aligned variant in CUDA routed-MoE dispatch.	ds4_cuda.cu:1011
runtime/cuda	DS4_CUDA_MOE_NO_MIDQ_SIDECAR	presence flag; unset does not force the path; any defined value including 0 is true; eligibility/auto-policy still applies	Disable the midq sidecar variant in CUDA routed-MoE dispatch.	ds4_cuda.cu:30170
runtime/cuda	DS4_CUDA_MOE_NO_OWNED_SPARSE_BUFFERS	presence flag; unset does not force the path; any defined value including 0 is true; eligibility/auto-policy still applies	Disable the owned sparse buffers variant in CUDA routed-MoE dispatch.	ds4_cuda.cu:30089
runtime/cuda	DS4_CUDA_MOE_NO_P2	presence flag; unset does not force the path; any defined value including 0 is true; eligibility/auto-policy still applies	Disable the p2 variant in CUDA routed-MoE dispatch.	ds4_cuda.cu:30084
runtime/cuda	DS4_CUDA_MOE_NO_Q2K_ALIGNED	value-aware kill switch, default off; nonempty value other than exact 0 disables aligned Q2_K path	Disable the q2k aligned variant in CUDA routed-MoE dispatch.	ds4_cuda.cu:1016
runtime/cuda	DS4_CUDA_MOE_NO_Q4_DOWN_ROWSPAN	presence flag; unset does not force the path; any defined value including 0 is true; eligibility/auto-policy still applies	Disable the Q4 down rowspan variant in CUDA routed-MoE dispatch.	ds4_cuda.cu:30114
runtime/cuda	DS4_CUDA_MOE_NO_Q4_DOWN_SLOT3	presence flag; unset does not force the path; any defined value including 0 is true; eligibility/auto-policy still applies	Disable the Q4 down slot3 variant in CUDA routed-MoE dispatch.	ds4_cuda.cu:30164
runtime/cuda	DS4_CUDA_MOE_NO_Q4_GATE_H16	presence flag; unset does not force the path; any defined value including 0 is true; eligibility/auto-policy still applies	Disable the Q4 gate H16 variant in CUDA routed-MoE dispatch.	ds4_cuda.cu:30149
runtime/cuda	DS4_CUDA_MOE_NO_Q4_GATE_H16R8	presence flag; unset does not force the path; any defined value including 0 is true; eligibility/auto-policy still applies	Disable the Q4 gate H16R8 variant in CUDA routed-MoE dispatch.	ds4_cuda.cu:30145
runtime/cuda	DS4_CUDA_MOE_NO_Q4_GATE_W32	presence flag; unset does not force the path; any defined value including 0 is true; eligibility/auto-policy still applies	Disable the Q4 gate W32 variant in CUDA routed-MoE dispatch.	ds4_cuda.cu:30157
runtime/cuda	DS4_CUDA_MOE_NO_Q4_GATE_W32R16	presence flag; unset does not force the path; any defined value including 0 is true; eligibility/auto-policy still applies	Disable the Q4 gate W32R16 variant in CUDA routed-MoE dispatch.	ds4_cuda.cu:30153
runtime/cuda	DS4_CUDA_MOE_NO_Q4_GATE_W32_NOAUX	presence flag; unset does not force the path; any defined value including 0 is true; eligibility/auto-policy still applies	Disable the Q4 gate W32 no-aux variant in CUDA routed-MoE dispatch.	ds4_cuda.cu:30160
runtime/cuda	DS4_CUDA_MOE_NO_Q4_MMA	presence flag; unset does not force the path; any defined value including 0 is true; eligibility/auto-policy still applies	Disable the Q4 MMA variant in CUDA routed-MoE dispatch.	ds4_cuda.cu:312
runtime/cuda	DS4_CUDA_MOE_NO_Q4_MMA_TILE16	presence flag; unset does not force the path; any defined value including 0 is true; eligibility/auto-policy still applies	Disable the Q4 MMA tile16 variant in CUDA routed-MoE dispatch.	ds4_cuda.cu:30100
runtime/cuda	DS4_CUDA_MOE_NO_Q4_SORTED	presence flag; unset does not force the path; any defined value including 0 is true; eligibility/auto-policy still applies	Disable the Q4 sorted variant in CUDA routed-MoE dispatch.	ds4_cuda.cu:30061
runtime/cuda	DS4_CUDA_MOE_NO_SMALL_SORTED_PREP	presence flag; unset does not force the path; any defined value including 0 is true; eligibility/auto-policy still applies	Disable the small sorted prep variant in CUDA routed-MoE dispatch.	ds4_cuda.cu:30106
runtime/cuda	DS4_CUDA_MOE_PROFILE	presence diagnostic flag; default off; any defined value including 0 enables	Measure and print routed-MoE CUDA kernel-stage timings.	ds4_cuda.cu:30045
runtime/cuda	DS4_CUDA_MOE_Q4_DOWN_SLOT3	presence flag; unset does not force the path; any defined value including 0 is true; eligibility/auto-policy still applies	Select or tune the Q4 down slot3 variant in CUDA routed-MoE dispatch.	ds4_cuda.cu:30163
runtime/cuda	DS4_CUDA_MOE_Q4_GATE_H16	presence flag; unset does not force the path; any defined value including 0 is true; eligibility/auto-policy still applies	Select or tune the Q4 gate H16 variant in CUDA routed-MoE dispatch.	ds4_cuda.cu:30148
runtime/cuda	DS4_CUDA_MOE_Q4_GATE_H16R8	presence flag; unset does not force the path; any defined value including 0 is true; eligibility/auto-policy still applies	Select or tune the Q4 gate H16R8 variant in CUDA routed-MoE dispatch.	ds4_cuda.cu:30144
runtime/cuda	DS4_CUDA_MOE_Q4_GATE_W32R16	presence flag; unset does not force the path; any defined value including 0 is true; eligibility/auto-policy still applies	Select or tune the Q4 gate W32R16 variant in CUDA routed-MoE dispatch.	ds4_cuda.cu:30152
runtime/cuda	DS4_CUDA_MOE_TILE4	presence flag; unset does not force the path; any defined value including 0 is true; eligibility/auto-policy still applies	Select or tune the tile4 variant in CUDA routed-MoE dispatch.	ds4_cuda.cu:30063
runtime/cuda	DS4_CUDA_MOE_TILE8	presence flag; unset does not force the path; any defined value including 0 is true; eligibility/auto-policy still applies	Select or tune the tile8 variant in CUDA routed-MoE dispatch.	ds4_cuda.cu:30079
runtime/cuda	DS4_CUDA_MOE_WRITE_GATE_UP	presence flag; unset does not force the path; any defined value including 0 is true; eligibility/auto-policy still applies	Select or tune the write gate up variant in CUDA routed-MoE dispatch.	ds4_cuda.cu:30081
runtime/cuda	DS4_CUDA_NO_ATTENTION_OUTPUT_F16_CACHE	presence kill switch; default unset (eligible path remains available); any defined value including 0 disables	Disable the attention output F16 cache CUDA F16 path.	ds4_cuda.cu:2364
runtime/cuda	DS4_CUDA_NO_ATTN_A_TOK2	presence kill switch; default unset (eligible path remains available); any defined value including 0 disables	Disable the CUDA attn a tok2 optimization/path.	ds4_cuda.cu:24024
runtime/cuda	DS4_CUDA_NO_ATTN_Q_B_F16_CACHE	presence kill switch; default unset (eligible path remains available); any defined value including 0 disables	Disable the attn q b F16 cache CUDA F16 path.	ds4_cuda.cu:2367
runtime/cuda	DS4_CUDA_NO_COMPRESSOR_PREFILL_BATCH	presence kill switch; default unset (eligible path remains available); any defined value including 0 disables	Disable the CUDA compressor prefill batch optimization/path.	ds4.c:29905
runtime/cuda	DS4_CUDA_NO_CUBLAS_ATTENTION	presence kill switch; default unset (eligible path remains available); any defined value including 0 disables	Disable the CUDA cuBLAS attention optimization/path.	ds4_cuda.cu:23067
runtime/cuda	DS4_CUDA_NO_CUBLAS_ATTENTION_OUTPUT_A	presence kill switch; default unset (eligible path remains available); any defined value including 0 disables	Disable the CUDA cuBLAS attention output a optimization/path.	ds4_cuda.cu:23934
runtime/cuda	DS4_CUDA_NO_DECODE_VALUE512	presence kill switch; default unset (eligible path remains available); any defined value including 0 disables	Disable the 512-thread CUDA decode value/finalize specialization.	ds4_cuda.cu:374
runtime/cuda	DS4_CUDA_NO_DERIVED_WEIGHTS	presence kill switch; default unset (eligible path remains available); any defined value including 0 disables	Disable the CUDA derived weights optimization/path.	ds4_cuda.cu:1034
runtime/cuda	DS4_CUDA_NO_DIRECT_IO	presence kill switch; default unset (eligible path remains available); any defined value including 0 disables	Disable the CUDA direct I/O optimization/path.	cuda/mmq/ds4_repack.cu:68
runtime/cuda	DS4_CUDA_NO_DIRECT_Q2_PREFILL	presence kill switch; default unset (eligible path remains available); any defined value including 0 disables	Disable the CUDA direct q2 prefill optimization/path.	ds4_cuda.cu:395
